year,type,production
2000,Coal,96.35
2001,Coal,100.62
2002,Coal,101.54
2003,Coal,109.18
2004,Coal,117.94
2005,Coal,125.84
2006,Coal,132.82
2007,Coal,138.74
2008,Coal,143.32
2009,Coal,145.06
2010,Coal,156.21
2011,Coal,164.67
2012,Coal,169.35
2013,Coal,172.12
2014,Coal,171.97
2015,Coal,168.04
2016,Coal,158.12
2017,Coal,162.70
2018,Coal,169.01
2019,Coal,172.88
2000,Natural gas,89.28
2001,Natural gas,91.07
2002,Natural gas,93.02
2003,Natural gas,96.02
2004,Natural gas,98.69
2005,Natural gas,102.05
2006,Natural gas,105.96
2007,Natural gas,108.25
2008,Natural gas,111.66
2009,Natural gas,109.56
2010,Natural gas,116.95
2011,Natural gas,121.00
2012,Natural gas,123.53
2013,Natural gas,125.03
2014,Natural gas,126.99
2015,Natural gas,129.64
2016,Natural gas,130.88
2017,Natural gas,137.20
2018,Natural gas,144.78
2019,Natural gas,149.43
2000,Nuclear,25.67
2001,Nuclear,26.40
2002,Nuclear,26.69
2003,Nuclear,26.31
2004,Nuclear,27.26
2005,Nuclear,27.32
2006,Nuclear,27.69
2007,Nuclear,27.18
2008,Nuclear,27.05
2009,Nuclear,26.66
2010,Nuclear,27.37
2011,Nuclear,26.25
2012,Nuclear,24.50
2013,Nuclear,24.65
2014,Nuclear,25.25
2015,Nuclear,25.52
2016,Nuclear,25.92
2017,Nuclear,26.21
2018,Nuclear,26.76
2019,Nuclear,27.83
2000,Renewables & other,31.92
2001,Renewables & other,31.56
2002,Renewables & other,31.88
2003,Renewables & other,32.28
2004,Renewables & other,34.26
2005,Renewables & other,35.99
2006,Renewables & other,37.45
2007,Renewables & other,38.82
2008,Renewables & other,41.48
2009,Renewables & other,42.73
2010,Renewables & other,46.32
2011,Renewables & other,48.38
2012,Renewables & other,50.36
2013,Renewables & other,54.16
2014,Renewables & other,56.63
2015,Renewables & other,57.68
2016,Renewables & other,60.99
2017,Renewables & other,64.41
2018,Renewables & other,67.88
2019,Renewables & other,69.58
